dataset,split/model,MAPE,RMSE,RÂ²
btcusdt_1d_2017,ARIMA Static - Train,4.370460607567079,485.9263745664231,0.9309889703380898
btcusdt_1d_2017,ARIMA Static - Test,16.852730304743776,3485.9426216416405,-1.9505259730643258
btcusdt_1d_2017,ARIMA Rolling - Test,6.030333016590088,1222.0678841361657,0.6373817686643368
btcusdt_1d_2018,ARIMA Static - Train,3.4913507624893683,893.9135004241585,0.825188838424277
btcusdt_1d_2018,ARIMA Static - Test,43.66203677261758,2098.135108336503,-1.657608575749511
btcusdt_1d_2018,ARIMA Rolling - Test,2.879563021809224,186.17176822744023,0.9790756603065423
btcusdt_1d_2019,ARIMA Static - Train,2.70522053034215,397.3766985472593,0.9813352667114408
btcusdt_1d_2019,ARIMA Static - Test,9.491183635612801,834.4225780290571,-0.0009458909679904703
btcusdt_1d_2019,ARIMA Rolling - Test,2.2151852627392143,261.4239622445049,0.9017507389138408
btcusdt_1d_2020,ARIMA Static - Train,2.70123609433892,534.5721831571883,0.8877051549073613
btcusdt_1d_2020,ARIMA Static - Test,33.39591518160668,7745.004484599627,-2.6623548690909007
btcusdt_1d_2020,ARIMA Rolling - Test,2.7869808437870844,703.786533359921,0.9697588027047163
btcusdt_1d_2021,ARIMA Static - Train,3.468200547292308,2123.713534087988,0.9472524752597135
btcusdt_1d_2021,ARIMA Static - Test,6.595784565116563,5087.661175753428,0.383586694721461
btcusdt_1d_2021,ARIMA Rolling - Test,2.4624507346360125,1809.2216099930952,0.9220494514431838
btcusdt_1d_2022,ARIMA Static - Train,2.735023356049533,2999.5351982122647,0.9048065627483028
btcusdt_1d_2022,ARIMA Static - Test,6.148140961261193,1313.0817245285946,0.3185038872661814
btcusdt_1d_2022,ARIMA Rolling - Test,1.7628453925826428,535.1342203225984,0.8868107149460497
btcusdt_1d_2023,ARIMA Static - Train,1.851627444585526,1130.5771414469132,0.8762139927975889
btcusdt_1d_2023,ARIMA Static - Test,19.5230767452722,8216.611514323457,-3.4737693436717834
btcusdt_1d_2023,ARIMA Rolling - Test,1.687419941133561,914.6906097654851,0.9445583019945444
btcusdt_1d_2024,ARIMA Static - Train,2.3499032236458164,3087.438275714593,0.8645800146859371
btcusdt_1d_2024,ARIMA Static - Test,20.98656332612471,23519.370762369075,-2.4546770738355574
btcusdt_1d_2024,ARIMA Rolling - Test,1.9215613909610143,2358.8755884278626,0.9652490938961764
btcusdt_1d_2025,ARIMA Static - Train,2.3993166742736647,7822.359489083994,0.1999649843080793
btcusdt_1d_2025,ARIMA Static - Test,3.907015144448737,5334.175853095702,-0.0003387386565751882
btcusdt_1d_2025,ARIMA Rolling - Test,1.1536091264757349,1682.461179614018,0.9004817950605897
ethusdt_1d_2017,ARIMA Static - Train,4.607107259899643,33.752844093421885,0.5726555047858186
ethusdt_1d_2017,ARIMA Static - Test,26.252782229884776,213.89858297800845,-1.76170362864418
ethusdt_1d_2017,ARIMA Rolling - Test,5.717544320603804,49.24574837824413,0.8536142712749745
ethusdt_1d_2018,ARIMA Static - Train,4.6077052120447135,60.62536292224106,0.9508806858442861
ethusdt_1d_2018,ARIMA Static - Test,53.48609344960439,73.01552347612909,-1.3817813078568206
ethusdt_1d_2018,ARIMA Rolling - Test,4.1105610143611315,7.863373827130778,0.9723758246869301
ethusdt_1d_2019,ARIMA Static - Train,3.272307783562376,11.939365940106287,0.9510263184824714
ethusdt_1d_2019,ARIMA Static - Test,15.390562544522496,25.62636666171075,-0.3362549918523887
ethusdt_1d_2019,ARIMA Rolling - Test,2.411882991112122,5.245219106546118,0.9440187568779819
ethusdt_1d_2020,ARIMA Static - Train,3.7753862886127414,14.93043313703137,0.972077923660865
ethusdt_1d_2020,ARIMA Static - Test,25.258801861709923,177.90849859883264,-2.120429787611122
ethusdt_1d_2020,ARIMA Rolling - Test,3.5021145094682002,24.160975834308566,0.9424493851633852
ethusdt_1d_2021,ARIMA Static - Train,4.679669157269927,152.0704798077604,0.9634743710396664
ethusdt_1d_2021,ARIMA Static - Test,18.54359502303903,969.5517963708503,-11.098559274294301
ethusdt_1d_2021,ARIMA Rolling - Test,3.1463887679386127,166.7776447057538,0.6420129649436206
ethusdt_1d_2022,ARIMA Static - Train,3.731565473422971,240.3675825097541,0.9028369875025425
ethusdt_1d_2022,ARIMA Static - Test,7.564220597859425,141.44793684729433,-0.008416976382358055
ethusdt_1d_2022,ARIMA Rolling - Test,2.8139616332317097,59.45576940103027,0.8218298601284934
ethusdt_1d_2023,ARIMA Static - Train,1.9988359694742082,81.1397275358794,0.7545548017930139
ethusdt_1d_2023,ARIMA Static - Test,23.38165155136988,538.1269813124387,-6.088547069322888
ethusdt_1d_2023,ARIMA Rolling - Test,1.9070956211081413,56.90487549230334,0.9207340540582832
ethusdt_1d_2024,ARIMA Static - Train,2.6621367313983497,169.80864500840627,0.8863176926242462
ethusdt_1d_2024,ARIMA Static - Test,18.57511512354712,769.2958635608148,-1.5355107217069404
ethusdt_1d_2024,ARIMA Rolling - Test,2.699675116496536,117.9652918946111,0.9403806619028766
ethusdt_1d_2025,ARIMA Static - Train,3.568529650674816,284.55204487010894,0.7625656184554619
ethusdt_1d_2025,ARIMA Static - Test,9.493125463573707,338.3531839439375,-0.0005025274236725163
ethusdt_1d_2025,ARIMA Rolling - Test,2.447638768181961,88.60174464986574,0.9313939837072569
